id,name,section,provisional,country,url,image,pdf
114,PONT-AUDEMER SPANIEL,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/PONT-AUDEMER-SPANIEL-114.html,,http://www.fci.be/Nomenclature/Standards/114g07-en.pdf
115,SAINT GERMAIN POINTER,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/SAINT-GERMAIN-POINTER-115.html,,http://www.fci.be/Nomenclature/Standards/115g07-en.pdf
116,DOGUE DE BORDEAUX,Molossian type,,FRANCE,http://www.fci.be/en/nomenclature/DOGUE-DE-BORDEAUX-116.html,http://www.fci.be/Nomenclature/Illustrations/116g02.jpg,http://www.fci.be/Nomenclature/Standards/116g02-en.pdf
117,DEUTSCH LANGHAAR,Continental Pointing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/DEUTSCH-LANGHAAR-117.html,http://www.fci.be/Nomenclature/Illustrations/117g07.jpg,http://www.fci.be/Nomenclature/Standards/117g07-en.pdf
118,LARGE MUNSTERLANDER,Continental Pointing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/LARGE-MUNSTERLANDER-118.html,http://www.fci.be/Nomenclature/Illustrations/118g07.jpg,http://www.fci.be/Nomenclature/Standards/118g07-en.pdf
119,GERMAN SHORT- HAIRED POINTING DOG,Continental Pointing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-SHORT-HAIRED-POINTING-DOG-119.html,http://www.fci.be/Nomenclature/Illustrations/119g07.jpg,http://www.fci.be/Nomenclature/Standards/119g07-en.pdf
120,IRISH RED SETTER,British and Irish Pointers and Setters,,IRELAND,http://www.fci.be/en/nomenclature/IRISH-RED-SETTER-120.html,,http://www.fci.be/Nomenclature/Standards/120g07-en.pdf
121,FLAT COATED RETRIEVER,Retrievers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/FLAT-COATED-RETRIEVER-121.html,http://www.fci.be/Nomenclature/Illustrations/121g08.jpg,http://www.fci.be/Nomenclature/Standards/121g08-en.pdf
122,LABRADOR RETRIEVER,Retrievers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/LABRADOR-RETRIEVER-122.html,http://www.fci.be/Nomenclature/Illustrations/122g08.jpg,http://www.fci.be/Nomenclature/Standards/122g08-en.pdf
123,FIELD SPANIEL,Flushing Dogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/FIELD-SPANIEL-123.html,http://www.fci.be/Nomenclature/Illustrations/123g08.jpg,http://www.fci.be/Nomenclature/Standards/123g08-en.pdf
124,IRISH WATER SPANIEL,Water Dogs,,IRELAND,http://www.fci.be/en/nomenclature/IRISH-WATER-SPANIEL-124.html,,http://www.fci.be/Nomenclature/Standards/124g08-en.pdf
125,ENGLISH SPRINGER SPANIEL,Flushing Dogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-SPRINGER-SPANIEL-125.html,http://www.fci.be/Nomenclature/Illustrations/125g08.jpg,http://www.fci.be/Nomenclature/Standards/125g08-en.pdf
126,WELSH SPRINGER SPANIEL,Flushing Dogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/WELSH-SPRINGER-SPANIEL-126.html,http://www.fci.be/Nomenclature/Illustrations/126g08.jpg,http://www.fci.be/Nomenclature/Standards/126g08-en.pdf
