id,name,group,section,provisional,country,url,image,pdf
323,GRAND ANGLO-FRANÇAIS BLANC ET NOIR,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,FRANCE,https://www.fci.be/fr/nomenclature/GRAND-ANGLO-FRANCAIS-BLANC-ET-NOIR-323.html,https://www.fci.be/Nomenclature/Illustrations/323g06.jpg,https://www.fci.be/Nomenclature/Standards/323g06-fr.pdf
324,GRAND ANGLO-FRANÇAIS BLANC & ORANGE,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,FRANCE,https://www.fci.be/fr/nomenclature/GRAND-ANGLO-FRANCAIS-BLANC-ORANGE-324.html,https://www.fci.be/Nomenclature/Illustrations/324g06.jpg,https://www.fci.be/Nomenclature/Standards/324g06-fr.pdf
325,ANGLO-FRANÇAIS DE PETITE VENERIE,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,FRANCE,https://www.fci.be/fr/nomenclature/ANGLO-FRANCAIS-DE-PETITE-VENERIE-325.html,,https://www.fci.be/Nomenclature/Standards/325g06-fr.pdf
326,BERGER DE RUSSIE MERIDIONALE,Chiens de berger et de bouvier,Chiens de berger,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/BERGER-DE-RUSSIE-MERIDIONALE-326.html,https://www.fci.be/Nomenclature/Illustrations/326g01.jpg,https://www.fci.be/Nomenclature/Standards/326g01-fr.pdf
327,TERRIER NOIR RUSSE,Chiens de type Pinscher et Schnauzer,Type Pinscher et Schnauzer,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/TERRIER-NOIR-RUSSE-327.html,https://www.fci.be/Nomenclature/Illustrations/327g02.jpg,https://www.fci.be/Nomenclature/Standards/327g02-fr.pdf
328,BERGER DU CAUCASE,Chiens de type Pinscher et Schnauzer,Molossoïdes,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/BERGER-DU-CAUCASE-328.html,https://www.fci.be/Nomenclature/Illustrations/328g02.jpg,https://www.fci.be/Nomenclature/Standards/328g02-fr.pdf
329,CHIEN DE GARENNE DES CANARIES,Chiens de type Spitz et de type primitif,Type primitif - Chiens de chasse,,ESPAGNE,https://www.fci.be/fr/nomenclature/CHIEN-DE-GARENNE-DES-CANARIES-329.html,https://www.fci.be/Nomenclature/Illustrations/329g05.jpg,https://www.fci.be/Nomenclature/Standards/329g05-fr.pdf
330,SETTER IRLANDAIS ROUGE ET BLANC,Chiens d'arrêt,Chiens d'arrêt britanniques et irlandais,,IRLANDE,https://www.fci.be/fr/nomenclature/SETTER-IRLANDAIS-ROUGE-ET-BLANC-330.html,,https://www.fci.be/Nomenclature/Standards/330g07-fr.pdf
331,CHIEN DE BERGER KANGAL,Chiens de type Pinscher et Schnauzer,Molossoïdes,,TURQUIE,https://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-KANGAL-331.html,https://www.fci.be/Nomenclature/Illustrations/331g02.jpg,https://www.fci.be/Nomenclature/Standards/331g02-fr.pdf
332,CHIEN LOUP TCHECOSLOVAQUE,Chiens de berger et de bouvier,Chiens de berger,,TCHECOSLOVAQUIE,https://www.fci.be/fr/nomenclature/CHIEN-LOUP-TCHECOSLOVAQUE-332.html,,https://www.fci.be/Nomenclature/Standards/332g01-fr.pdf
333,LEVRIER POLONAIS,Lévriers,Lévriers à poil court,,POLOGNE,https://www.fci.be/fr/nomenclature/LEVRIER-POLONAIS-333.html,,https://www.fci.be/Nomenclature/Standards/333g10-fr.pdf
334,JINDO COREEN,Chiens de type Spitz et de type primitif,Spitz asiatiques et races apparentées,,COREE,https://www.fci.be/fr/nomenclature/JINDO-COREEN-334.html,https://www.fci.be/Nomenclature/Illustrations/334g05.jpg,https://www.fci.be/Nomenclature/Standards/334g05-fr.pdf
335,BERGER D'ASIE CENTRALE,Chiens de type Pinscher et Schnauzer,Molossoïdes,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/BERGER-D-ASIE-CENTRALE-335.html,https://www.fci.be/Nomenclature/Illustrations/335g02-1.jpg,https://www.fci.be/Nomenclature/Standards/335g02-fr.pdf
336,CHIEN D'EAU ESPAGNOL,Chiens rapporteurs de gibier,Chiens d'eau,,ESPAGNE,https://www.fci.be/fr/nomenclature/CHIEN-D-EAU-ESPAGNOL-336.html,,https://www.fci.be/Nomenclature/Standards/336g08-fr.pdf
337,CHIEN COURANT ITALIEN A POIL RAS,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,ITALIE,https://www.fci.be/fr/nomenclature/CHIEN-COURANT-ITALIEN-A-POIL-RAS-337.html,https://www.fci.be/Nomenclature/Illustrations/337g06.jpg,https://www.fci.be/Nomenclature/Standards/337g06-fr.pdf
338,CHIEN THAILANDAIS A CRETE DORSALE,Chiens de type Spitz et de type primitif,Type primitif - Chiens de chasse,,THAILANDE,https://www.fci.be/fr/nomenclature/CHIEN-THAILANDAIS-A-CRETE-DORSALE-338.html,,https://www.fci.be/Nomenclature/Standards/338g05-fr.pdf
339,TERRIER DU REVEREND RUSSELL,Terriers,Terriers de grande et moyenne taille,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/TERRIER-DU-REVEREND-RUSSELL-339.html,https://www.fci.be/Nomenclature/Illustrations/339g03.jpg,https://www.fci.be/Nomenclature/Standards/339g03-fr.pdf
340,FILA DE SAINT MIGUEL,Chiens de type Pinscher et Schnauzer,Molossoïdes,,PORTUGAL,https://www.fci.be/fr/nomenclature/FILA-DE-SAINT-MIGUEL-340.html,,https://www.fci.be/Nomenclature/Standards/340g02-fr.pdf
341,TERRIER BRESILIEN,Terriers,Terriers de grande et moyenne taille,,BRESIL,https://www.fci.be/fr/nomenclature/TERRIER-BRESILIEN-341.html,https://www.fci.be/Nomenclature/Illustrations/341g03.jpg,https://www.fci.be/Nomenclature/Standards/341g03-fr.pdf
342,BERGER AUSTRALIEN,Chiens de berger et de bouvier,Chiens de berger,,ETATS-UNIS,https://www.fci.be/fr/nomenclature/BERGER-AUSTRALIEN-342.html,,https://www.fci.be/Nomenclature/Standards/342g01-fr.pdf
343,CHIEN DE COUR ITALIEN,Chiens de type Pinscher et Schnauzer,Molossoïdes,,ITALIE,https://www.fci.be/fr/nomenclature/CHIEN-DE-COUR-ITALIEN-343.html,https://www.fci.be/Nomenclature/Illustrations/343g02.jpg,https://www.fci.be/Nomenclature/Standards/343g02-fr.pdf
344,AKITA AMERICAIN,Chiens de type Spitz et de type primitif,Spitz asiatiques et races apparentées,,JAPON,https://www.fci.be/fr/nomenclature/AKITA-AMERICAIN-344.html,,https://www.fci.be/Nomenclature/Standards/344g05-fr.pdf
345,TERRIER JACK RUSSELL,Terriers,Terriers de petite taille,,GRANDE-BRETAGNE,https://www.fci.be/fr/nomenclature/TERRIER-JACK-RUSSELL-345.html,https://www.fci.be/Nomenclature/Illustrations/345g03-1.jpg,https://www.fci.be/Nomenclature/Standards/345g03-fr.pdf
346,PRESA CANARIO,Chiens de type Pinscher et Schnauzer,Molossoïdes,,ESPAGNE,https://www.fci.be/fr/nomenclature/PRESA-CANARIO-346.html,https://www.fci.be/Nomenclature/Illustrations/346g02.jpg,https://www.fci.be/Nomenclature/Standards/346g02-fr.pdf
347,BERGER BLANC SUISSE,Chiens de berger et de bouvier,Chiens de berger,,SUISSE,https://www.fci.be/fr/nomenclature/BERGER-BLANC-SUISSE-347.html,https://www.fci.be/Nomenclature/Illustrations/347g01-1.jpg,https://www.fci.be/Nomenclature/Standards/347g01-fr.pdf
348,CHIEN DE TAIWAN,Chiens de type Spitz et de type primitif,Type primitif - Chiens de chasse,,TAIWAN,https://www.fci.be/fr/nomenclature/CHIEN-DE-TAIWAN-348.html,https://www.fci.be/Nomenclature/Illustrations/348g05.jpg,https://www.fci.be/Nomenclature/Standards/348g05-fr.pdf
349,CHIEN DE BERGER ROUMAIN DE MIORITZA,Chiens de berger et de bouvier,Chiens de berger,,ROUMANIE,https://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-ROUMAIN-DE-MIORITZA-349.html,https://www.fci.be/Nomenclature/Illustrations/349g01.jpg,https://www.fci.be/Nomenclature/Standards/349g01-fr.pdf
350,CHIEN DE BERGER ROUMAIN DES CARPATHES,Chiens de berger et de bouvier,Chiens de berger,,ROUMANIE,https://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-ROUMAIN-DES-CARPATHES-350.html,https://www.fci.be/Nomenclature/Illustrations/350g01.jpg,https://www.fci.be/Nomenclature/Standards/350g01-fr.pdf
351,BOUVIER AUSTRALIEN COURTE QUEUE,Chiens de berger et de bouvier,Chiens de bouvier (sauf chiens de bouvier suisses),06/07/2005,AUSTRALIE,https://www.fci.be/fr/nomenclature/BOUVIER-AUSTRALIEN-COURTE-QUEUE-351.html,,https://www.fci.be/Nomenclature/Standards/351g01-fr.pdf
352,PETIT CHIEN RUSSE,Chiens d'agrément et de compagnie,Epagneul Nain Continental et autres,,RUSSIE (FEDERATION DE),https://www.fci.be/fr/nomenclature/PETIT-CHIEN-RUSSE-352.html,https://www.fci.be/Nomenclature/Illustrations/352g09-1.jpg,https://www.fci.be/Nomenclature/Standards/352g09-fr.pdf
353,CIMARRON URUGUAYEN,Chiens de type Pinscher et Schnauzer,Molossoïdes,,URUGUAY,https://www.fci.be/fr/nomenclature/CIMARRON-URUGUAYEN-353.html,https://www.fci.be/Nomenclature/Illustrations/353g02.jpg,https://www.fci.be/Nomenclature/Standards/353g02-fr.pdf
