id,name,group,section,provisional,country,url,image,pdf
190,Ховаварт,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Germany,https://uku.com.ua/plem_work/breed_fci/02.html,,
191,Фландрський Був’є,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Скотогонні собаки (крім швейцарських скотогонних собак),,Belgium,https://uku.com.ua/plem_work/breed_fci/01.html,,
192,Кромфорлендер,Собаки-компаньйони та декоративні собаки,Кромфорлендер,,Germany,https://uku.com.ua/plem_work/breed_fci/09.html,,
193,Російський Псовий Хорт,Хорти,Довгошерсті Хорти,,Russia,https://uku.com.ua/plem_work/breed_fci/10.html,,
194,Бергамська Вівчарка,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Italy,https://uku.com.ua/plem_work/breed_fci/01.html,,
195,Італійський Волпіно,Шпіци та собаки примітивного типу,Європейські Шпіци,,Italy,https://uku.com.ua/plem_work/breed_fci/05.html,,
196,Болоньєз,Собаки-компаньйони та декоративні собаки,Болонки та споріднені породи,,Italy,https://uku.com.ua/plem_work/breed_fci/09.html,,
197,Неаполітанський Мастиф,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Italy,https://uku.com.ua/plem_work/breed_fci/02.html,,
198,Італійський Грубошерстий Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Italy,https://uku.com.ua/plem_work/breed_fci/06.html,,
199,Чирнеко Дель Етна,Шпіци та собаки примітивного типу,Собаки примітивного типу - Мисливські Собаки,,Italy,https://uku.com.ua/plem_work/breed_fci/05.html,,
200,Італійський Хорт,Хорти,Короткошерсті Хорти,,Italy,https://uku.com.ua/plem_work/breed_fci/10.html,,
201,Маремма-Абруцька Вівчарка,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Italy,https://uku.com.ua/plem_work/breed_fci/01.html,,
202,Італійський Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,Italy,https://uku.com.ua/plem_work/breed_fci/07.html,,
203,Норвезький Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Norway,https://uku.com.ua/plem_work/breed_fci/06.html,,
204,Іспанський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Spain,https://uku.com.ua/plem_work/breed_fci/06.html,,
205,Чау Чау,Шпіци та собаки примітивного типу,Азіатські шпіци та споріднені породи,,China / Great Britain,https://uku.com.ua/plem_work/breed_fci/05.html,,
206,Японський Хін,Собаки-компаньйони та декоративні собаки,Японський Хін і Пекінес,,Japan,https://uku.com.ua/plem_work/breed_fci/09.html,,
207,Пекінес,Собаки-компаньйони та декоративні собаки,Японський Хін і Пекінес,,China,https://uku.com.ua/plem_work/breed_fci/09.html,,
208,Ши Тцу,Собаки-компаньйони та декоративні собаки,Тибетські Породи,,Tibet (China),https://uku.com.ua/plem_work/breed_fci/09.html,,
209,Тибетський Тер’єр,Собаки-компаньйони та декоративні собаки,Тибетські Породи,,Tibet (China),https://uku.com.ua/plem_work/breed_fci/09.html,,
211,Канадський Ескімоський Собака,Шпіци та собаки примітивного типу,Північні Їздові Собаки,,Canada,https://uku.com.ua/plem_work/breed_fci/05.html,,
212,Самоїд,Шпіци та собаки примітивного типу,Північні Їздові Собаки,,"Russia, Siberia/Nordic KU",https://uku.com.ua/plem_work/breed_fci/05.html,,
213,Гановерський Гончак,Гончаки по кров’яному сліду та споріднені породи,Зграєві собаки,,Germany,https://uku.com.ua/plem_work/breed_fci/06.html,,
214,Еллінський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Greece,https://uku.com.ua/plem_work/breed_fci/06.html,,
215,Бішон Фрізе,Собаки-компаньйони та декоративні собаки,Болонки та споріднені породи,,"Belgium, France",https://uku.com.ua/plem_work/breed_fci/09.html,,
216,Пудельпойнтер,Лягаві Собаки,Континентальні Лягаві Собаки,,Germany,https://uku.com.ua/plem_work/breed_fci/07.html,,
217,Баварський Гірський Гончак,Гончаки по кров’яному сліду та споріднені породи,Зграєві собаки,,Germany,https://uku.com.ua/plem_work/breed_fci/06.html,,
218,Чихуахуа,Собаки-компаньйони та декоративні собаки,Чихуахуа,,Mexico,https://uku.com.ua/plem_work/breed_fci/09.html,,
